Percentile,Value
1,0
2,700
3,3866
4,6659
5,8521
6,9600
7,10307
8,11497
9,12405
10,13488
11,14560
12,15564
13,16600
14,17650
15,18849
16,20000
17,20625
18,21792
19,22895
20,24000
21,25000
22,25647
23,26812
24,28000
25,29010
26,30000
27,30892
28,32000
29,33080
30,34460
31,35200
32,36188
33,37415
34,38700
35,40000
36,40768
37,42003
38,43107
39,44671
40,45442
41,46851
42,48004
43,49556
44,50200
45,51510
46,53000
47,54485
48,55560
49,57028
50,58849
51,60004
52,61135
53,62936
54,64600
55,65906
56,67711
57,69534
58,70855
59,72692
60,74570
61,75872
62,77671
63,79954
64,81002
65,83122
66,85100
67,87351
68,90000
69,91860
70,94034
71,96229
72,98897
73,100422
74,103030
75,105580
76,109033
77,111500
78,114900
79,118014
80,120954
81,124803
82,128382
83,132300
84,136863
85,141555
86,147023
87,151964
88,157785
89,163900
90,170432
91,178660
92,188080
93,198420
94,210080
95,225196
96,247219
97,273886
98,323005
99,430600